otc_id,nfl_player_id,esbid,gsis_id,gsis_it_id,pff_id
224,2495339,SEA484041,00-0028038,37175,6252
225,,,00-0029166,39148,7433
226,,,00-0029537,39410,7738
227,2507430,ARR196395,00-0026071,33604,4742
228,71523,WOO033999,00-0027004,34479,4951
229,,PEA298484,00-0023016,30137,2737
230,2506871,JAC173789,00-0024204,30631,3368
231,2507731,SAN042512,00-0026844,35072,5430
232,,,00-0028175,37312,6389
233,79899,BYR449897,00-0027018,34493,4965
234,,,00-0026900,34519,4991
235,,,00-0027532,36053,6008
236,2540225,BOH116572,00-0030112,40163,7997
237,2508135,ROG442915,00-0028144,37281,6358
238,,,00-0028134,37271,6348
239,2495229,SHE554427,00-0028006,37143,6220
240,,,00-0029055,39002,7367
241,71495,URB695653,00-0027053,34530,5002
242,,,00-0030439,40852,8394
243,2495347,,00-0028097,37234,6311
244,,,00-0028488,37968,6662
245,497286,EAS089979,00-0027708,35546,5631
246,2495982,WIL431243,00-0023750,30815,2946
247,,,00-0024373,30974,3104
248,2532800,BRA104685,00-0029272,38635,7105
249,2504046,,00-0019310,25947,754
250,2533332,BRO167445,00-0029280,38654,7124
251,,PAS234988,00-0022149,28209,1478
252,2508058,YOU573357,00-0027778,35618,5702
253,2495573,CHA313999,00-0025516,32322,3745
254,,,00-0028897,38841,7269
255,2533062,,00-0029542,38540,7016
256,768,JOH673533,00-0026364,33305,4538
257,2532850,GRA263708,00-0029660,38599,7071
258,,,00-0028410,37890,6596
259,,,00-0027803,35647,5731
260,,,00-0027655,35480,5566
261,,,00-0025604,32410,3833
262,2532804,BRO777933,00-0029566,38582,7055
263,,,00-0029286,38674,7139
264,2508034,,00-0027628,36163,6056
265,,,00-0028653,38127,6789
266,71375,,00-0026997,34472,4944
267,,,00-0022808,29036,1804
268,,SME373761,00-0029315,38778,7662
269,2532970,WEE221487,00-0029677,38552,7028
270,2495343,SKR296636,00-0028075,37212,6289
271,497123,,00-0027688,35524,5609
272,2532431,ROB304836,00-0028834,38470,7003
273,2506889,JAC137677,00-0024249,30848,2979
274,2532781,ACH665901,00-0029428,38733,7189
275,2539289,BAR236353,00-0030465,40130,7963
276,,,00-0027355,35868,5886
277,2562304,LIT425789,00-0027997,37134,6211
278,,,00-0027748,35588,5672
279,,KIT017528,00-0029378,39282,7726
280,2495228,SHE039759,00-0027975,37112,6189
281,,JOH337662,00-0029279,38650,7120
282,,,00-0028690,37640,6422
283,,PIN669259,00-0028088,37225,6302
284,496733,HAD357325,00-0027860,35446,5532
285,2507162,,,32196,9272
286,238,GRE029234,00-0026205,33146,4379
287,2535693,,00-0029065,39012,7374
288,2495267,CAM107841,00-0028040,37177,6254
289,2532817,COO622580,00-0028930,38881,7672
290,2537931,GOR190310,00-0029664,39646,7618
291,,,00-0019986,26691,995
292,4393,MUN327528,00-0026334,33275,4508
293,,,00-0029047,38994,7360
294,,,00-0029725,36618,8518
295,2535613,FOR595356,00-0028932,38883,7292
296,2532945,SCH763124,00-0029253,38567,7041
297,,,00-0027666,35498,5584
298,,COU714650,00-0026239,33180,4413
299,,,00-0028062,37199,6276
300,2508106,TAY612318,00-0027959,37094,6173
301,,,00-0027562,36091,6024
302,,MIL545287,00-0029290,38690,7153
303,497028,LAU738293,00-0027694,35531,5616
304,,,00-0021186,27190,1066
305,494323,WAR274773,00-0027653,35477,5563
306,2533029,CAR049002,00-0029287,38677,7141
307,2532848,,00-0028924,38868,7288
308,497121,LEW733214,00-0027253,35761,5817
309,2532790,,00-0029269,38630,7100
310,2533032,RIC635450,00-0029675,38533,7009
311,2532965,WAD688464,00-0029314,38776,7227
312,2507705,TAL662347,00-0026791,35015,5396
313,,,00-0027511,36032,5995
314,2507229,HAY776168,00-0025569,32375,3798
315,,,00-0028230,37730,6462
316,2495140,,00-0027958,37093,6172
317,2495122,,00-0028089,37226,6303
318,2538247,DEP118180,00-0029714,39750,7633
319,,,00-0028160,37297,6374
320,497270,BEN192067,00-0027654,35478,5564
321,,NIC723945,00-0026304,33245,4478
322,2532923,OWU580524,00-0028905,38849,7276
323,,,00-0027805,35649,5733
324,1270,WAL435985,00-0026247,33188,4421
325,2507463,,00-0026138,33677,4777
326,2505664,CLA236596,00-0022165,28060,1340
327,2508097,HAW100447,00-0027918,34226,6125
328,2507727,GOR775873,00-0026837,35064,5424
329,2535604,,00-0029183,39165,7445
330,2495475,BOW198049,00-0027989,37126,6203
331,,,00-0029361,39265,7498
332,,JOS174977,00-0024238,30837,2968
333,496961,WAT325980,00-0027812,35656,5740
334,2507716,DOT277798,00-0026814,35040,5410
335,,,00-0027444,35957,5947
336,,,00-0029096,39043,7388
337,,,00-0026501,34670,5143
338,2506706,PEN244635,00-0023894,31228,3459
339,2532899,MAR578568,00-0029613,38561,7035
340,,,00-0029147,38763,7217
341,,,00-0026179,33120,4353
342,496812,LOR636435,00-0027844,35694,5775
343,,,00-0029074,39021,7381
344,2506297,GIB666742,00-0023327,30488,4232
345,,MER139315,00-0027112,34613,5086
346,,ZUT622937,00-0026223,33164,4397
347,,,00-0028981,38932,7318
348,79557,FRE183259,00-0026993,34468,4940
349,2534741,TAN126893,00-0029422,38704,7166
350,2532828,DAV026654,00-0029562,38588,7060
351,,,00-0028143,37280,6357
352,2532878,JOH399760,00-0029087,39034,7385
353,497149,BLO626278,00-0027325,35838,5863
354,2495234,,00-0028042,37179,6256
355,2532789,,00-0029670,38537,7013
356,,,00-0028162,37299,6376
357,2495281,FOS493155,00-0028022,37159,6236
358,,,00-0028875,38818,7255
359,2507617,BEN384391,00-0026618,34836,5273
360,,,00-0023234,30384,2682
361,,,00-0029145,38742,7197
362,2535607,,00-0029164,39146,7431
363,2508048,WIL446858,00-0027702,35540,5625
364,,,00-0027672,35506,5592
365,2533016,GOO217526,00-0029418,38670,7137
366,497220,,00-0027780,35621,5705
367,,,00-0029505,39387,7582
368,2505935,ROB407958,00-0022735,28962,1731
369,2540229,MIL706804,00-0030046,40111,7945
370,,,00-0000741,22395,261
371,,,00-0029177,39159,7442
372,497026,LAR422272,00-0027607,35644,5728
373,71491,,00-0027156,34704,5177
374,2506400,JAC627460,00-0023496,29888,2278
375,238457,MIL625718,00-0025425,32231,3654
376,,SNY081787,00-0023529,29921,2311
377,,HIL708180,00-0025596,32402,3825
378,497320,,00-0027691,35527,5612
379,,,,,
380,2495340,,00-0028074,37211,6288
381,2506112,DAN762622,00-0022927,28986,1754
382,2505245,PAL249055,00-0021429,28037,1317
383,2505552,NEW475575,00-0022045,28041,1321
384,2533543,MAS441786,00-0029528,38642,7112
385,744,CAM208843,00-0026190,33131,4364
386,,,00-0029351,39254,7492
387,2508083,WIL206531,00-0027877,35465,5551
388,,,00-0024483,31586,3223
389,2506115,DOC428041,00-0022930,29017,1785
390,496959,WAS186798,00-0027886,35486,5572
391,,COL385165,00-0024262,30861,2992
392,,ZAS622937,00-0021235,27244,1113
393,2508130,,00-0028122,37259,6336
394,2530868,TRA432591,00-0028495,37975,6669
395,,,00-0029712,39748,7632
396,2532839,FLE257221,00-0029639,38610,7082
397,2504343,FEE461435,00-0019770,26215,955
398,,,00-0024369,30970,3100
399,497226,DRA632509,00-0027825,35674,5756
400,,,00-0022781,28981,1750
401,2532792,,00-0029530,38707,7654
402,2649,,00-0026035,33566,4717
403,,,00-0028606,38086,6760
404,2505573,BEL639186,00-0022067,28249,1513
405,79649,,00-0026757,34980,5369
406,238504,,00-0026956,34691,5164
407,,,00-0029343,39246,7486
408,2506106,FIT437493,00-0022921,28955,1724
409,,,00-0025392,32198,3621
410,,SEN108904,00-0025682,32827,4062
411,2532841,FLO764240,00-0029638,38543,7019
412,,GIB698733,00-0026324,33265,4498
